Age,Gender,Country,Region,High School Science Score,Biology Score,Chemistry Score,Physics Score,Mathematics Score,Undergraduate Degree,Medical School Ranking,Institution Type,Medical Entrance Exam Score,Ability to diagnose & treat patients,"Doctor-patient interaction, explaining procedures",Hand-Eye Coordination,Empathy,Analytical Thinking,Years of Medical Education,Clinical Internship Experience (Months),Research Experience (Months),Medical Certifications,Specialization Courses,Interest in Surgery,Interest in Patient Care,Interest in Laboratory & Research,Interest in Emergency Medicine,Interest in Mental Health & Psychology,Preferred Work Environment,Comfort with Long Working Hours,Willingness to Work in Rural Areas,Teamwork Preference,Predicted Medical Career Role
46,Female,Canada,Rural,72.23,92.42,89.8,74.45,67.08,MBBS,Low Tier,Private,78.03,8,8,7,5,7,9,21,23,0,0,6,9,6,4,4,Research Lab,1,No,6,General Physician
55,Male,Canada,Urban,66.27,79.25,96.23,88.85,69.1,BSc Nursing,Top Tier,Public,94.89,8,5,5,8,8,11,6,3,5,3,4,4,4,1,9,Pharma Industry,8,No,8,Psychiatrist
24,Male,India,Urban,80.62,68.13,81.91,84.54,69.14,BDS,Top Tier,Private,50.99,5,8,4,6,8,6,5,12,0,3,2,1,3,1,3,Research Lab,9,No,5,General Physician
45,Female,UK,Urban,98.81,92.38,98.09,80.55,83.25,BPharm,Top Tier,Private,61.6,7,7,8,5,7,13,17,12,8,4,1,7,8,8,8,Hospital,8,No,8,Emergency Medicine Specialist
30,Female,USA,Urban,66.43,78.22,65.93,65.12,72.44,BSc Nursing,Low Tier,Public,91.88,9,9,7,8,8,14,7,9,1,4,5,3,3,6,2,Hospital,6,No,9,Cardiologist
47,Male,UK,Rural,70.02,98.23,73.79,83.43,55.39,BSc Nursing,Top Tier,Private,76.1,6,8,5,8,8,9,8,11,9,0,8,6,5,4,6,Clinic,7,No,6,Cardiologist
41,Female,USA,Urban,78.48,81.38,93.19,87.71,96.62,BSc Biotech,Low Tier,Public,91.66,7,7,7,7,8,8,13,21,8,1,7,3,2,3,5,Clinic,8,No,9,Dermatologist
31,Male,Canada,Rural,85.63,64.67,82.13,92.59,85.03,MBBS,Mid Tier,Public,82.58,7,9,4,9,6,10,0,4,9,1,3,1,6,9,5,Hospital,9,Yes,7,Emergency Medicine Specialist
40,Male,Australia,Urban,84.01,94.04,81.88,71.98,60.64,BPharm,Top Tier,Private,90.65,8,8,9,6,9,9,2,11,1,2,3,8,3,8,3,Clinic,5,No,1,General Physician
24,Male,UK,Urban,80.85,95.14,78.42,70.57,96.76,BSc Nursing,Mid Tier,Private,70.92,5,8,8,9,5,13,15,7,9,1,4,6,9,9,5,Hospital,7,Yes,1,Emergency Medicine Specialist
45,Female,Australia,Urban,89.49,77.82,60.75,89.95,99.58,BPharm,Top Tier,Public,50.5,7,6,8,5,8,9,14,14,5,3,1,1,1,7,4,Hospital,9,No,5,Medical Researcher
26,Female,UK,Urban,93.84,61.04,63.21,78.7,59.87,BDS,Mid Tier,Private,83.7,5,8,6,5,7,13,23,11,3,3,1,3,9,2,1,Research Lab,9,Yes,6,General Physician
24,Female,Germany,Urban,99.96,61.19,63.58,76.23,69.03,BSc Biotech,Mid Tier,Public,74.85,5,8,8,9,5,7,2,10,2,4,8,1,7,5,6,Clinic,9,No,3,Surgeon
48,Male,UK,Urban,78.62,74.05,67.58,66.42,53.45,MBBS,Top Tier,Private,99.17,5,5,9,6,6,10,4,4,9,4,3,3,5,9,2,Pharma Industry,2,Yes,8,Emergency Medicine Specialist
37,Male,Australia,Rural,99.8,88.65,63.77,77.37,74.12,MBBS,Low Tier,Private,56.01,6,7,9,9,9,12,20,4,7,3,6,4,6,3,1,Hospital,4,No,7,Radiologist
36,Female,Germany,Urban,89.22,73.24,64.26,89.05,89.38,BDS,Top Tier,Public,80.98,7,6,5,5,9,7,16,14,8,3,4,1,9,2,3,Clinic,2,No,1,Medical Researcher
56,Male,India,Rural,86.29,60.31,85.48,78.02,95.2,BSc Nursing,Top Tier,Public,65.06,8,8,6,9,9,5,9,7,0,3,6,5,1,1,1,Clinic,8,No,7,Surgeon
33,Male,Canada,Rural,85.59,93.94,64.73,94.91,77.26,BSc Biotech,Mid Tier,Public,75.12,7,7,7,8,9,14,6,14,7,3,7,5,1,1,4,Clinic,7,No,5,Orthopedic Doctor
47,Female,India,Rural,96.43,98.75,78.6,60.17,66.3,MBBS,Low Tier,Private,53.67,5,8,5,7,7,6,3,9,1,0,8,4,9,4,9,Pharma Industry,8,Yes,7,Pharmacist
55,Female,India,Rural,97.92,73.85,62.53,67.2,78.74,BPharm,Low Tier,Public,93.05,7,5,3,8,9,9,2,8,1,0,2,3,3,4,8,Pharma Industry,2,Yes,7,Psychiatrist
44,Male,UK,Urban,67.14,62.92,70.78,84.58,55.78,BDS,Low Tier,Public,94.57,8,5,6,6,8,10,18,17,6,0,2,8,6,2,5,Research Lab,1,No,9,Radiologist
52,Male,Canada,Urban,79.74,71.66,96.97,86.88,91.76,MBBS,Mid Tier,Public,74.58,8,7,9,7,8,7,4,16,6,4,8,2,6,8,6,Hospital,9,Yes,4,Surgeon
41,Male,Germany,Rural,97.66,91.96,61.24,71.03,76.03,BSc Nursing,Mid Tier,Public,54.18,5,9,6,5,7,8,5,20,2,1,9,9,8,2,1,Hospital,8,No,6,General Physician
33,Female,UK,Urban,75.28,81.69,95.08,97.68,99.12,BSc Biotech,Mid Tier,Private,79.06,8,8,7,9,7,6,16,0,0,2,1,6,8,3,2,Research Lab,5,Yes,5,Nurse
44,Female,USA,Urban,69.31,75.36,90.38,73.23,70.05,MBBS,Mid Tier,Public,64.33,5,9,4,9,5,8,14,15,2,1,7,4,8,8,7,Hospital,1,Yes,4,Emergency Medicine Specialist
25,Female,UK,Rural,64.11,73.37,96.84,76.45,82.68,BSc Nursing,Low Tier,Public,51.25,7,7,9,9,6,11,5,16,7,1,6,2,9,6,6,Clinic,5,No,6,Pharmacist
44,Male,Germany,Urban,83.89,64.62,91.47,99.06,67,BSc Nursing,Top Tier,Public,91.49,9,6,3,9,8,14,12,22,2,4,8,9,5,9,5,Hospital,4,No,2,Emergency Medicine Specialist
22,Male,Australia,Rural,88.01,73.58,93.05,79.17,57.38,BDS,Mid Tier,Public,56.45,7,6,4,5,5,5,21,1,7,3,3,4,8,9,6,Hospital,9,No,8,Emergency Medicine Specialist
46,Female,UK,Urban,67.82,78.8,64.31,84.51,87.74,BSc Nursing,Top Tier,Public,96.26,9,8,5,9,5,13,3,9,5,0,4,1,3,1,6,Clinic,9,Yes,2,Medical Researcher
23,Female,USA,Rural,86.95,86.93,93.42,81.61,83.62,BDS,Mid Tier,Public,83.16,7,8,9,6,8,7,14,17,7,1,8,4,4,5,3,Clinic,5,No,7,Surgeon
51,Female,UK,Rural,95.98,70.48,79.08,67.1,89.02,BPharm,Mid Tier,Private,57.15,8,6,4,8,8,10,22,10,1,4,2,5,9,6,3,Research Lab,8,No,4,Medical Researcher
24,Male,Germany,Urban,69.74,95.9,74.06,99.66,99.01,BDS,Low Tier,Private,63.31,7,5,6,9,9,14,21,14,7,3,4,6,1,5,8,Hospital,4,No,1,Psychiatrist
42,Female,USA,Urban,64.88,79.39,66.15,62.36,99.67,MBBS,Top Tier,Private,98.83,7,8,3,6,5,11,1,3,2,3,3,2,5,1,5,Pharma Industry,2,No,8,Pharmacist
46,Female,Canada,Urban,93.42,76.21,60.03,99.34,96.45,BDS,Mid Tier,Public,82.43,7,7,5,7,8,10,4,0,3,2,4,3,9,7,6,Hospital,8,No,2,Medical Researcher
41,Female,Germany,Urban,96.66,83.76,85.71,78.72,94.74,BSc Biotech,Mid Tier,Public,74.1,6,8,5,6,6,14,21,17,9,1,3,9,9,7,5,Hospital,8,No,1,General Physician
43,Female,UK,Rural,68.59,66.7,89.04,67.58,65.08,BPharm,Mid Tier,Public,97.7,6,7,6,7,6,9,17,13,5,4,4,8,8,7,9,Clinic,7,No,8,Nurse
42,Male,USA,Urban,88.86,64.26,75.52,66.68,73.42,BDS,Mid Tier,Private,51.52,9,6,4,7,8,14,9,13,1,0,1,7,8,7,8,Clinic,9,No,7,Medical Researcher
54,Male,Germany,Urban,83.64,73.86,66.57,86.22,52.34,BPharm,Mid Tier,Public,69.17,6,8,5,9,8,12,3,13,7,4,8,3,2,4,3,Hospital,8,No,8,Orthopedic Doctor
59,Male,Canada,Urban,69.57,61.6,65.78,88.43,84.21,BDS,Low Tier,Private,90.91,6,5,5,8,9,13,15,16,0,0,5,9,3,7,2,Clinic,6,Yes,2,Neurologist
36,Female,Australia,Urban,92.95,75.1,66.73,95.95,77.3,BSc Nursing,Top Tier,Private,97.76,8,7,5,8,8,7,4,19,9,4,5,6,8,2,9,Pharma Industry,9,No,9,Psychiatrist
36,Female,India,Urban,78.82,86.86,62.25,69.46,85.35,BSc Nursing,Mid Tier,Public,89.2,8,5,9,8,8,14,14,12,1,4,5,1,1,9,7,Hospital,7,No,2,Emergency Medicine Specialist
46,Female,USA,Rural,88.01,92.48,74.39,77.33,84.04,MBBS,Top Tier,Public,81.86,9,7,8,5,7,11,15,19,3,2,4,4,7,9,1,Research Lab,6,No,2,Emergency Medicine Specialist
42,Male,Australia,Urban,72.06,83.19,84.65,98.85,63.6,BSc Nursing,Top Tier,Public,56.43,8,9,3,7,7,8,3,6,4,4,7,4,5,3,7,Research Lab,6,Yes,1,Dermatologist
45,Female,Canada,Urban,92.63,87.65,77.88,77.12,73.05,BSc Biotech,Top Tier,Private,76.84,9,5,6,6,5,10,3,18,9,4,7,2,8,6,7,Pharma Industry,7,No,8,Psychiatrist
26,Female,Australia,Urban,70.57,93.33,65.02,78.38,55.25,BSc Nursing,Mid Tier,Public,78.73,8,5,5,9,7,11,8,23,4,4,3,1,6,8,4,Clinic,1,No,6,Emergency Medicine Specialist
27,Male,UK,Rural,74.59,90.93,92.65,71.54,54.23,BSc Biotech,Mid Tier,Private,91.41,9,5,3,7,9,5,1,2,4,4,1,6,4,4,2,Research Lab,5,No,3,Surgeon
44,Female,India,Urban,75.66,72.8,71.48,94.84,73,BDS,Mid Tier,Public,83.45,9,5,9,8,6,10,13,6,3,4,8,2,1,8,4,Clinic,4,No,2,Surgeon
25,Male,USA,Urban,68.26,82.94,84.11,74.62,77.79,BDS,Mid Tier,Private,92.27,7,5,9,5,8,9,21,22,0,0,2,8,9,4,3,Research Lab,9,No,6,Medical Researcher
48,Male,Germany,Urban,94.97,70.59,69.83,85.42,65.94,BSc Biotech,Mid Tier,Public,79.03,9,6,8,7,8,14,0,17,0,3,2,3,9,7,7,Research Lab,4,No,7,Medical Researcher
39,Male,Canada,Rural,64.54,83.05,83.8,67.3,53.08,MBBS,Top Tier,Public,56.78,9,8,3,8,9,6,5,8,1,1,6,4,2,3,4,Pharma Industry,8,No,1,Dentist
42,Female,India,Urban,82.53,77.04,65.19,84.63,83.08,BSc Nursing,Top Tier,Public,87.46,9,5,7,5,7,14,22,20,9,4,3,1,9,4,2,Pharma Industry,9,Yes,9,Nurse
49,Female,Canada,Urban,92.57,74.91,86.22,97.36,83.87,BSc Biotech,Low Tier,Public,81.81,5,9,5,5,8,14,4,9,5,4,7,6,8,5,6,Hospital,3,No,8,Medical Researcher
56,Male,Australia,Urban,83.24,67.34,82.93,91.07,66.04,BSc Nursing,Low Tier,Public,67.41,9,7,7,6,5,12,8,20,9,2,2,1,2,4,4,Research Lab,6,Yes,3,Surgeon
43,Female,Canada,Rural,73.08,82.47,80.77,62.71,50.04,BPharm,Mid Tier,Public,90.98,7,6,8,9,5,12,6,15,7,0,2,6,2,1,2,Clinic,1,No,3,Orthopedic Doctor
44,Female,Canada,Urban,91.25,89.17,68.68,85.36,81.79,MBBS,Mid Tier,Private,94.16,5,8,7,5,8,11,21,22,5,3,1,8,4,2,6,Pharma Industry,9,No,4,General Physician
24,Female,Australia,Rural,79.97,82.85,81.17,82.35,53.53,BDS,Top Tier,Private,86.69,7,6,8,6,9,7,19,12,5,3,4,7,5,5,8,Research Lab,1,Yes,1,Radiologist
31,Male,Australia,Urban,66.52,62.77,95.88,73.54,61.17,BSc Biotech,Top Tier,Private,74.2,7,6,3,9,7,11,13,20,8,0,6,9,2,4,2,Pharma Industry,9,Yes,9,Radiologist
46,Female,India,Urban,72.67,96.97,65.01,93.71,62.39,BPharm,Mid Tier,Private,65.47,7,9,5,8,7,10,12,18,0,0,5,3,9,4,6,Clinic,3,No,7,Medical Researcher
29,Female,USA,Rural,83.68,60.22,88.15,91.67,63.18,BSc Biotech,Top Tier,Public,61.43,8,8,8,7,6,11,16,16,4,1,7,6,2,6,5,Hospital,2,No,6,Pharmacist
32,Male,Australia,Urban,86.35,95.4,64.55,85.94,80.83,BSc Biotech,Top Tier,Private,91.53,9,9,3,8,5,14,15,14,4,2,1,1,1,7,3,Clinic,9,Yes,4,Psychiatrist
26,Male,India,Urban,81.93,90.64,73.53,89.77,53.96,BSc Biotech,Top Tier,Public,82.54,8,9,9,7,7,11,10,7,3,3,6,4,2,2,7,Pharma Industry,7,No,9,Radiologist
58,Female,Canada,Urban,70.88,63.86,87.35,67.73,82.26,BSc Biotech,Low Tier,Private,82.04,7,8,4,8,6,10,2,7,0,1,5,6,8,6,3,Pharma Industry,1,Yes,1,Orthopedic Doctor
59,Male,Canada,Urban,83.75,69.46,82.41,96.81,74.24,BDS,Low Tier,Public,60.02,9,6,5,5,8,5,9,13,3,4,1,4,1,2,9,Pharma Industry,8,Yes,2,General Physician
50,Female,Germany,Rural,73.3,73.96,87.13,86.72,67.44,BDS,Top Tier,Private,77.78,7,6,4,5,9,6,13,3,7,2,7,5,7,2,8,Clinic,3,No,1,Neurologist
26,Male,UK,Rural,69,96.41,98.53,78.71,80.21,BDS,Low Tier,Public,99.38,8,6,8,9,6,8,4,17,9,4,5,7,2,6,9,Research Lab,7,Yes,5,Psychiatrist
30,Female,Australia,Rural,97.82,99.2,98.78,67.72,93.67,MBBS,Top Tier,Public,72.33,6,9,4,8,8,6,19,20,1,3,1,9,6,4,2,Hospital,2,No,3,General Physician
23,Male,India,Rural,72.59,63.49,96.59,87.31,77.2,BDS,Mid Tier,Public,77.58,5,8,8,6,8,9,16,19,6,4,9,1,7,3,2,Clinic,4,No,4,Surgeon
22,Male,Germany,Rural,73.42,75.88,79.79,63.87,57.81,BSc Nursing,Top Tier,Private,93.8,7,6,6,8,5,10,8,11,6,1,2,5,4,1,5,Clinic,4,No,6,Nurse
51,Male,India,Rural,95.87,65.97,73.64,72.79,77.89,BDS,Top Tier,Public,93.69,8,7,4,8,6,12,9,9,9,4,1,3,9,2,6,Pharma Industry,5,No,6,Medical Researcher
32,Female,USA,Urban,65.71,71.14,71.18,82.95,72.68,BSc Biotech,Low Tier,Private,53.3,8,9,4,7,5,10,21,0,0,1,7,4,4,1,8,Pharma Industry,9,No,9,General Physician
49,Female,Germany,Urban,83.38,99.24,83.03,85.84,97.03,BSc Biotech,Top Tier,Public,95.14,9,5,7,5,6,10,8,22,7,0,1,7,9,3,4,Research Lab,1,Yes,1,Cardiologist
33,Male,India,Rural,91.35,99.38,78.14,60.69,79.67,BSc Nursing,Top Tier,Public,82.8,8,6,5,6,6,13,21,23,2,3,5,5,2,2,2,Pharma Industry,3,No,1,General Physician
47,Male,Australia,Urban,70.95,78.89,99.78,60.35,51.76,BPharm,Low Tier,Private,67.12,6,9,9,9,5,7,5,13,4,3,7,5,6,3,5,Clinic,4,No,6,Neurologist
34,Female,India,Rural,93.76,67.33,81.42,64.46,56.04,BSc Biotech,Mid Tier,Public,88.34,7,8,4,5,7,12,19,16,4,0,3,2,1,1,1,Clinic,5,Yes,4,Orthopedic Doctor
29,Male,UK,Urban,90.79,81.88,73.16,90.73,76.62,BSc Biotech,Mid Tier,Private,74.42,9,8,7,5,5,5,14,15,3,0,8,2,1,2,2,Hospital,3,Yes,4,Neurologist
49,Female,Canada,Urban,79.44,72.83,85.44,82.68,89.76,BDS,Low Tier,Public,77.41,7,5,8,7,9,5,20,13,7,2,1,4,8,9,9,Pharma Industry,8,No,9,Emergency Medicine Specialist
51,Male,Canada,Urban,64.75,97.15,61.75,84.34,54.78,BDS,Mid Tier,Private,81.89,6,6,9,6,5,6,9,8,4,0,3,9,1,2,8,Clinic,4,No,1,Dermatologist
30,Female,Germany,Urban,98.8,92.73,64.43,84.14,78.27,BSc Biotech,Mid Tier,Private,90.32,9,5,3,7,5,12,10,6,2,2,8,1,2,5,5,Pharma Industry,4,No,1,Cardiologist
52,Female,India,Rural,84.97,72.35,86.55,61.47,72.63,BSc Nursing,Top Tier,Public,73.59,6,8,3,8,6,9,10,9,2,3,4,8,9,3,6,Research Lab,4,Yes,6,General Physician
42,Female,India,Urban,80.68,60.73,64.93,66.89,68.14,BSc Biotech,Mid Tier,Public,62.98,8,6,5,6,5,7,12,9,8,0,4,5,4,7,7,Clinic,7,No,5,Dermatologist
55,Female,India,Urban,95.42,99.92,90.22,89.11,54.1,BDS,Low Tier,Private,80.62,6,7,4,5,7,14,11,16,8,0,1,8,6,7,1,Hospital,2,No,1,Cardiologist
52,Male,India,Urban,76.85,87.33,62.48,85.83,93.98,BDS,Mid Tier,Private,98.58,8,7,6,5,5,11,5,8,5,1,5,5,1,3,8,Hospital,6,No,6,Orthopedic Doctor
46,Male,UK,Urban,82.55,77.03,83.76,77.81,88.16,BDS,Mid Tier,Public,54.87,5,7,6,6,9,6,16,11,6,3,9,3,9,9,1,Research Lab,2,Yes,9,Emergency Medicine Specialist
33,Female,Australia,Urban,94.34,71.54,87.14,60.82,96.04,BSc Nursing,Low Tier,Private,50.33,9,5,9,6,7,14,7,10,0,4,3,5,3,2,8,Research Lab,8,Yes,7,Orthopedic Doctor
22,Female,UK,Rural,75.72,60.18,91.18,76.67,58.38,BSc Biotech,Low Tier,Private,69.41,9,6,4,9,8,6,14,9,9,1,3,4,7,6,1,Pharma Industry,6,No,5,Dentist
43,Female,UK,Rural,90.9,66.16,95.43,69.92,78.62,BDS,Mid Tier,Public,77.2,5,7,3,7,5,5,17,4,2,3,6,8,7,8,5,Research Lab,4,No,7,Emergency Medicine Specialist
58,Female,UK,Urban,70.25,60.23,72.49,87.89,50.96,BPharm,Top Tier,Public,75.55,7,5,3,6,6,5,17,15,7,1,8,6,1,2,3,Pharma Industry,7,No,1,Surgeon
22,Female,Canada,Rural,88.09,83.9,88.77,92.99,58.88,BDS,Top Tier,Private,65.75,7,6,7,8,7,11,16,19,9,2,5,7,3,7,2,Clinic,5,No,2,General Physician
22,Male,UK,Rural,80.42,86.53,63.23,80.15,89.45,MBBS,Low Tier,Public,96.67,8,8,9,8,8,14,18,0,8,4,6,3,9,9,2,Pharma Industry,7,Yes,4,Emergency Medicine Specialist
42,Male,India,Urban,66.6,90.67,93.19,76.14,64.35,BPharm,Low Tier,Public,62.2,9,7,9,5,9,14,7,17,8,3,8,2,8,5,2,Clinic,3,No,7,Surgeon
36,Male,UK,Urban,65.44,67.48,95.61,70.92,59.86,BDS,Mid Tier,Public,56.12,5,7,8,7,9,14,18,14,7,0,6,9,5,2,2,Hospital,4,No,2,Pharmacist
38,Male,India,Urban,78.31,63.84,89.95,63.7,77.11,MBBS,Mid Tier,Public,61.19,8,5,7,7,7,7,1,7,2,0,4,1,4,7,9,Pharma Industry,7,No,2,Emergency Medicine Specialist
43,Female,Germany,Urban,88.43,86.02,71.25,74.87,82.77,BSc Nursing,Mid Tier,Public,54.86,8,5,6,7,8,12,5,9,2,0,5,5,3,6,5,Clinic,2,No,2,Nurse
59,Male,Australia,Urban,84.13,80,62.49,87.12,80.52,MBBS,Top Tier,Public,92.29,5,7,7,5,9,9,23,16,0,3,2,4,5,3,4,Clinic,6,No,5,Cardiologist
56,Male,Canada,Urban,94.19,95.03,76.86,86.64,54.96,BSc Biotech,Low Tier,Private,70.08,9,8,8,9,7,6,13,21,7,4,7,8,8,2,6,Clinic,9,Yes,6,General Physician
37,Male,Australia,Urban,75.59,81.33,70.83,76.51,96.52,BSc Biotech,Top Tier,Public,91.53,6,5,4,8,7,10,3,3,3,1,8,7,6,8,2,Pharma Industry,4,No,5,Emergency Medicine Specialist
29,Male,Germany,Rural,93.75,77.79,81.21,98.64,58.86,BSc Nursing,Mid Tier,Private,81.9,6,5,8,7,6,11,21,12,9,1,4,6,7,2,9,Research Lab,1,No,7,Cardiologist
38,Male,Australia,Rural,61.48,79.52,75.75,97.6,96.27,BSc Nursing,Mid Tier,Private,73.73,6,7,9,6,6,7,10,20,2,2,1,6,3,7,3,Clinic,1,No,8,Nurse
38,Female,Canada,Urban,74.63,91.29,65.44,95.03,74.19,BSc Nursing,Low Tier,Public,55.12,8,5,9,7,5,11,13,8,0,4,9,8,1,4,9,Research Lab,6,No,3,Surgeon
47,Male,India,Rural,62.92,60.73,93.47,77.43,55.15,MBBS,Top Tier,Public,51.86,8,7,7,5,7,10,3,3,7,0,8,2,7,4,1,Research Lab,6,No,2,Psychiatrist
34,Female,Germany,Rural,96.77,96.73,94.59,89.86,57.43,MBBS,Mid Tier,Private,77.87,7,7,8,7,9,11,8,0,1,4,7,9,4,7,1,Hospital,7,Yes,3,Cardiologist
38,Female,Germany,Urban,79.01,88.57,92.53,97.16,71.54,BSc Nursing,Low Tier,Public,60,8,6,5,8,5,6,9,15,7,4,6,2,3,6,6,Hospital,9,No,1,Emergency Medicine Specialist
59,Female,India,Urban,72.65,95.41,68.41,89.51,99.9,MBBS,Mid Tier,Public,72.15,7,5,6,8,5,5,21,2,0,1,1,6,3,6,7,Research Lab,1,No,8,Neurologist
38,Male,India,Urban,79.7,98.38,77.14,72.63,94.29,BSc Biotech,Top Tier,Public,97.32,5,7,3,9,9,12,8,12,3,3,6,1,7,6,1,Research Lab,1,No,1,Psychiatrist
35,Male,Canada,Urban,81.31,69.04,66.86,62.72,99.01,BDS,Mid Tier,Public,56.68,5,5,7,5,9,12,13,19,4,3,1,7,5,8,1,Hospital,5,No,4,Emergency Medicine Specialist
27,Male,UK,Urban,93.85,83.13,86.61,98.32,72.74,BPharm,Mid Tier,Public,85.33,9,9,8,5,7,13,4,11,2,4,1,1,8,9,1,Pharma Industry,9,No,5,Emergency Medicine Specialist
56,Male,USA,Urban,81.7,79.44,92.2,99.7,83.99,BSc Nursing,Mid Tier,Public,60.6,9,9,5,8,5,12,22,22,4,2,8,6,5,8,4,Hospital,5,No,7,Emergency Medicine Specialist
35,Female,UK,Urban,77.26,81.5,83.26,87.75,75.96,BSc Biotech,Mid Tier,Private,62.05,8,9,3,9,8,11,4,17,7,2,7,1,6,3,1,Research Lab,8,No,2,Psychiatrist
29,Female,UK,Urban,98.45,61.89,81.84,72.61,51.48,MBBS,Mid Tier,Public,81.93,9,6,7,7,8,7,6,3,0,0,4,9,6,6,4,Research Lab,3,No,7,Anesthesiologist
36,Female,Australia,Rural,98.74,96.56,88.6,94.6,57.09,BPharm,Low Tier,Public,56.54,7,6,4,7,7,7,6,20,2,3,8,3,4,7,2,Hospital,7,No,8,Radiologist
48,Male,USA,Rural,61.54,98.19,64.54,98.14,64.27,BSc Nursing,Mid Tier,Private,69.38,5,9,6,8,7,5,19,7,3,0,4,9,6,5,5,Hospital,3,No,9,General Physician
34,Female,India,Rural,88.27,87.4,69.91,80.26,65.66,MBBS,Low Tier,Private,69.01,7,8,3,5,9,10,21,10,6,4,5,6,5,9,1,Pharma Industry,7,No,6,Emergency Medicine Specialist
52,Male,UK,Rural,74.87,70.33,72.55,72.47,84.74,MBBS,Mid Tier,Public,72.77,7,5,3,9,9,9,23,15,7,3,6,1,3,8,9,Pharma Industry,5,No,1,Psychiatrist
56,Female,Canada,Rural,87.01,91.49,81.3,76.25,86.04,BPharm,Mid Tier,Public,65.93,6,6,5,9,7,7,13,5,0,4,7,9,3,2,6,Pharma Industry,9,No,3,Dermatologist
27,Female,UK,Urban,85.48,89.23,99.04,62.95,72.53,MBBS,Top Tier,Private,63.67,9,7,9,9,8,10,7,3,2,3,9,5,3,6,3,Hospital,4,No,7,Surgeon
26,Male,India,Rural,73.2,82.98,94.52,82.63,68.95,BPharm,Mid Tier,Public,89.1,7,5,6,7,5,6,0,7,1,2,3,8,6,9,2,Pharma Industry,1,No,7,Emergency Medicine Specialist
43,Male,UK,Rural,99.47,66.81,69.88,75.15,58.85,BSc Biotech,Top Tier,Public,53.99,6,7,6,9,6,13,9,14,3,1,7,8,7,1,9,Pharma Industry,3,No,2,Psychiatrist
44,Female,Germany,Urban,74.28,68.05,69.32,95.38,52.05,BSc Nursing,Top Tier,Public,92.49,8,8,5,6,5,11,19,8,0,0,1,8,8,2,8,Hospital,5,Yes,5,General Physician
46,Male,Australia,Urban,85.28,83.58,77.43,71.02,79.27,MBBS,Top Tier,Public,91.92,6,6,7,5,6,13,19,18,6,2,9,7,2,5,2,Research Lab,4,Yes,1,Dentist
55,Male,Australia,Urban,92.54,65.15,98.99,60.33,67.4,BDS,Top Tier,Public,96.63,5,7,9,7,6,13,14,5,7,0,8,2,8,3,6,Hospital,5,No,9,Surgeon
47,Male,UK,Urban,65.82,88.96,66.1,89.49,73.84,BPharm,Top Tier,Private,61.99,6,9,9,8,8,12,2,16,3,4,5,8,6,9,6,Hospital,8,No,4,General Physician
26,Male,Australia,Urban,72.02,68.5,98.28,60.3,95.04,BSc Biotech,Mid Tier,Public,95.82,8,6,9,8,8,8,11,5,6,4,5,5,3,1,3,Pharma Industry,1,No,1,Surgeon
47,Female,Canada,Urban,67.96,96.42,67.62,81.84,83.38,BDS,Top Tier,Public,72.52,5,7,5,9,5,6,19,13,9,2,9,9,4,1,4,Research Lab,2,No,1,Nurse
41,Female,USA,Rural,91.27,95.99,95.46,67.25,88.94,BSc Nursing,Top Tier,Public,84.19,6,6,3,9,7,5,16,8,0,1,4,2,1,9,1,Research Lab,5,Yes,3,Emergency Medicine Specialist
27,Female,UK,Urban,92.05,71.74,93.21,84.42,59,BSc Biotech,Top Tier,Private,92.59,6,7,3,5,8,13,3,18,6,1,1,7,3,1,5,Research Lab,4,No,1,Anesthesiologist
27,Male,Canada,Urban,70.24,63.34,95.29,67.92,50.08,BPharm,Top Tier,Private,53.13,7,9,4,6,5,14,3,5,9,1,5,7,9,7,5,Hospital,1,No,2,Emergency Medicine Specialist
39,Female,Germany,Urban,60.17,84.46,95.67,80.08,56.77,BSc Biotech,Top Tier,Public,51.74,7,9,6,8,9,7,11,2,8,1,9,1,4,3,4,Research Lab,2,Yes,1,General Physician
25,Female,Canada,Rural,76.93,77.94,68.73,73.4,88.4,BSc Biotech,Top Tier,Private,60.09,7,7,8,7,8,11,8,16,2,1,8,2,6,5,6,Hospital,4,Yes,6,Surgeon
38,Male,Canada,Rural,87.49,65.75,91.15,67.3,72.19,BSc Biotech,Low Tier,Public,78.04,9,7,3,7,8,11,14,0,6,4,2,5,6,6,6,Research Lab,2,No,7,Nurse
35,Male,Germany,Urban,84.9,81.26,87.28,84.26,60.7,BSc Nursing,Mid Tier,Public,88.91,7,6,3,7,9,13,8,1,1,1,5,3,9,9,7,Clinic,2,No,1,Emergency Medicine Specialist
35,Female,India,Urban,77.83,99.71,95.16,63.29,98.09,BDS,Low Tier,Public,88.77,7,7,6,5,9,12,8,10,4,0,3,9,3,1,8,Research Lab,7,No,1,Cardiologist
34,Male,UK,Urban,72.08,62.76,79.61,97.65,74.34,BSc Biotech,Low Tier,Private,94.65,8,9,7,9,6,9,3,5,3,1,9,2,3,1,1,Research Lab,4,No,2,General Physician
28,Male,UK,Rural,78.98,70.56,76.54,91.13,68.45,MBBS,Mid Tier,Public,77.82,7,7,9,6,6,11,8,9,2,2,4,6,3,6,8,Pharma Industry,3,No,1,Pharmacist
36,Male,UK,Rural,60.6,81.54,89.05,96.63,98.86,BSc Biotech,Top Tier,Public,78.01,6,6,6,8,6,6,23,21,2,0,5,6,2,7,9,Hospital,2,No,7,Psychiatrist
